Packet_Size,Source_IP,Destination_IP,Source_Port,Destination_Port
20,10.0.2.15,13.107.5.93,41510.0,443.0
20,13.107.5.93,10.0.2.15,443.0,41510.0
20,10.0.2.15,152.199.4.33,46606.0,443.0
20,152.199.4.33,10.0.2.15,443.0,46606.0
20,10.0.2.15,13.107.42.18,34592.0,443.0
20,13.107.42.18,10.0.2.15,443.0,34592.0
20,10.0.2.15,152.199.4.33,46616.0,443.0
20,152.199.4.33,10.0.2.15,443.0,46616.0
20,10.0.2.15,13.107.246.69,50964.0,443.0
20,13.107.246.69,10.0.2.15,443.0,50964.0
20,10.0.2.15,20.189.173.25,52282.0,443.0
20,20.189.173.25,10.0.2.15,443.0,52282.0
20,10.0.2.15,13.107.5.93,41510.0,443.0
20,13.107.5.93,10.0.2.15,443.0,41510.0
20,10.0.2.15,152.199.4.33,46606.0,443.0
20,152.199.4.33,10.0.2.15,443.0,46606.0
20,10.0.2.15,152.199.4.33,46616.0,443.0
20,10.0.2.15,13.107.42.18,34592.0,443.0
20,152.199.4.33,10.0.2.15,443.0,46616.0
20,13.107.42.18,10.0.2.15,443.0,34592.0
20,13.107.246.69,10.0.2.15,443.0,50964.0
20,10.0.2.15,13.107.246.69,50964.0,443.0
20,13.107.246.69,10.0.2.15,443.0,50964.0
20,10.0.2.15,13.107.246.69,50964.0,443.0
20,10.0.2.15,13.107.246.69,50964.0,443.0
20,13.107.246.69,10.0.2.15,443.0,50964.0
20,13.107.246.69,10.0.2.15,443.0,50964.0
20,10.0.2.15,13.107.246.69,50964.0,443.0
20,13.107.5.93,10.0.2.15,443.0,41510.0
20,13.107.42.18,10.0.2.15,443.0,34592.0
20,10.0.2.15,20.189.173.25,52282.0,443.0
20,20.189.173.25,10.0.2.15,443.0,52282.0
20,10.0.2.15,75.75.75.75,32323.0,53.0
20,10.0.2.15,75.75.75.75,21305.0,53.0
20,10.0.2.15,20.189.173.25,52282.0,443.0
20,10.0.2.15,20.189.173.25,52282.0,443.0
20,20.189.173.25,10.0.2.15,443.0,52282.0
20,20.189.173.25,10.0.2.15,443.0,52282.0
20,20.189.173.25,10.0.2.15,443.0,52282.0
20,75.75.75.75,10.0.2.15,53.0,21305.0
20,75.75.75.75,10.0.2.15,53.0,32323.0
